"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_1"
4.27761721209663e-38,0.275280370105267,0.998,0.997,1.0739813534411e-33,"rpl12",2.36210022451976e-34
9.99140341225979e-36,3.15716962479114,0.346,0.056,2.50854165471607e-31,"ogg1",2.75862648212493e-32
4.42433898021145e-32,5.45392004361707,0.225,0.009,1.11081878776169e-27,"ms4a17a.9",8.14373328290922e-29
2.765780751945e-30,-0.548927510061133,0.901,0.952,6.94404573390831e-26,"selenoh",3.81816032806007e-27
1.92036268564892e-29,4.27419347182754,0.232,0.019,4.82145459485873e-25,"nudt15",2.12084855003066e-26
1.4655640152436e-26,1.12742780860429,0.998,1,3.67959157307211e-22,"zgc:158463",1.34880741536253e-23
4.27525929339931e-26,2.57551357828767,0.307,0.064,1.07338935079377e-21,"lgals9l3",3.37256883116443e-23
2.45565285606791e-24,1.82204857853637,0.381,0.12,6.1654076257297e-20,"p2rx4b",1.69501438390087e-21
6.60003266166044e-24,-1.67587970228207,0.181,0.483,1.65707020036309e-19,"cxxc1a",3.91926569321634e-21
7.09754743429255e-24,1.42405969414026,0.401,0.137,1.78198123432783e-19,"dab2ipa",3.91926569321634e-21
3.47831547646104e-22,-3.66751701799201,0.044,0.273,8.73300666675074e-18,"dlx4a",1.74611436918344e-19
5.74253862644896e-22,1.78471706980196,0.427,0.176,1.44177917294254e-17,"psmb10",2.64252485793759e-19
2.82114322177065e-21,1.51351798357471,0.61,0.368,7.08304428689956e-17,"cxcr4a",1.19833483620135e-18
6.82119014908872e-21,2.92990877201555,0.289,0.081,1.7125962107317e-16,"ms4a17a.11",2.69047228594771e-18
4.61507743888943e-19,0.100396281573918,0.995,0.998,1.15870749258197e-14,"rpl10",1.69896384116983e-16
5.9359776112195e-19,-2.17661596732342,0.126,0.372,1.49034589884888e-14,"he1.1",2.04865427307213e-16
8.71436870621397e-19,-0.168759021195766,0.991,0.997,2.18791655106914e-14,"ENSDARG00000115271",2.83063199974786e-16
1.01055360786725e-18,0.181368944438598,0.993,0.994,2.53719694327231e-14,"rps6",3.10015390146832e-16
3.445498718503e-18,0.448211599766368,0.95,0.95,8.65061363254549e-14,"dbi",1.00137073281966e-15
4.48177134889251e-18,-1.36281743291177,0.381,0.604,1.12523833256644e-13,"dlx5a",1.23741706942922e-15
2.10402946126721e-17,-0.12687101540514,1,0.998,5.28258676840358e-13,"si:dkey-151g10.6",5.53259556434168e-15
5.76009047083375e-17,0.902425225172362,0.805,0.712,1.44618591451223e-12,"postnb",1.44578270817927e-14
2.17659409479533e-16,-0.124272396704447,0.991,1,5.46477479380264e-12,"rps10",5.22571851802601e-14
2.87750164029254e-16,-0.159809369681096,0.979,0.992,7.22454336828247e-12,"rps26",6.62065169070641e-14
2.16382995817216e-15,-0.110198996132867,0.995,0.998,5.43272787598284e-11,"rps13",4.67019086664852e-13
2.19893086803444e-15,2.97206681203547,0.234,0.067,5.52085573037406e-11,"actc1b",4.67019086664852e-13
3.97002484382939e-15,-2.26304669761333,0.048,0.223,9.96754137540244e-11,"si:dkey-269i1.4.1",8.11943599541699e-13
4.24427888181915e-15,-1.63459979786029,0.2,0.41,1.06561109885833e-10,"dlx6a",8.26807417497804e-13
4.34216137403772e-15,-0.628922363763865,0.718,0.85,1.09018645617965e-10,"tsr2",8.26807417497804e-13
9.25791798724371e-15,-0.288287179724803,0.933,0.977,2.32438546905728e-10,"cox6a1",1.70407410418533e-12
1.44771968245384e-14,-0.635522690534967,0.661,0.819,3.63478980673684e-10,"rtf2",2.57880906016454e-12
1.81845506540624e-14,-1.3705807986607,0.376,0.562,4.56559513271545e-10,"dlx3b",3.13797152224164e-12
8.68737397983269e-14,-0.108406722781617,1,1,2.18113898511659e-09,"rpl28",1.45368724595867e-11
1.82722110145954e-13,-1.90671480875615,0.064,0.235,4.58760401943446e-09,"zgc:174855",2.9676220359587e-11
1.9488838674569e-13,-0.764015874064784,0.429,0.637,4.89306272602403e-09,"si:ch211-156j16.1",3.07478191888486e-11
2.23730659473226e-13,0.11966695182231,0.986,0.995,5.61720566739428e-09,"rack1",3.43177972669765e-11
2.89508078813631e-13,0.634344055957447,0.846,0.832,7.26867933477384e-09,"rbfox2",4.32071246272668e-11
3.17009815796831e-13,0.195857348240652,0.972,0.989,7.95916544521105e-09,"rplp2",4.60665316534238e-11
