gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,type
six1b,0.00208008380533017,0.369759750512262,0.7,0.681,0.020294,dorsal
hey1,1.85456213843286E-05,0.598499396143524,0.39,0.269,0.000507,dorsal
eya1,0.000106128120452475,0.710674405126498,0.456,0.363,0.002064,dorsal
jag1b,8.33021749514636E-07,0.990839363470065,0.466,0.326,0.000035,dorsal
nr2f5,2.37356050282447E-07,0.466451295306641,0.784,0.74,0.000012,dorsal
hand2,2.25116190298272E-08,-1.04267924976977,0.112,0.252,0.000001,ventral
barx1,1.42665510657411E-12,-1.25432477461806,0.335,0.53,0,ventral
dlx3b,1.81845506540624E-14,-1.3705807986607,0.376,0.562,0,ventral
dlx5a,4.48177134889251E-18,-1.36281743291177,0.381,0.604,0,ventral
dlx6a,4.24427888181915E-15,-1.63459979786029,0.2,0.41,0,ventral
